ID_Cliente,Nombre_Cliente,Segmento,Pais,Region,Estado,Ciudad,ID_Pedido,Fecha_Pedido,ID_Producto,Nombre_Producto,Categoria,Subcategoria,Cantidad,Descuento,Ventas,Ganancia,Margen_Ganancia
C0118,Nicolás Díaz,Consumidor,Chile,Austral,Magallanes,Punta Arenas,ORD-2023-00005,2025-03-30,P0032,Periféricos Eco 2,Tecnología,Periféricos,5,0.0,3617.95,1085.7,30.00870658798491
C0118,Nicolás Díaz,Consumidor,Chile,Austral,Magallanes,Punta Arenas,ORD-2023-00005,2025-03-30,P0010,Accesorios Nova 10,Tecnología,Accesorios,3,0.3,1423.97,-21.81,-1.5316333911529034
C0118,Nicolás Díaz,Consumidor,Chile,Austral,Magallanes,Punta Arenas,ORD-2023-00005,2025-03-30,P0115,Sobres Pro 5,Oficina,Sobres,5,0.0,659.35,228.2,34.60984302722378
C0256,Daniela Araya,Corporativo,Chile,Austral,Aysén,Coyhaique,ORD-2023-00006,2025-01-24,P0107,Etiquetas Pro 7,Oficina,Etiquetas,4,0.15,263.33,99.88,37.92959404549425
C0256,Daniela Araya,Corporativo,Chile,Austral,Aysén,Coyhaique,ORD-2023-00006,2025-01-24,P0016,Teléfonos Pro 6,Tecnología,Teléfonos,2,0.3,1091.02,304.33,27.894080768455204
C0247,Fernanda Martínez,Consumidor,Chile,Austral,Aysén,Coyhaique,ORD-2023-00007,2024-01-16,P0097,Archivadores Smart 7,Oficina,Archivadores,3,0.0,801.12,174.15,21.73831635710006
C0247,Fernanda Martínez,Consumidor,Chile,Austral,Aysén,Coyhaique,ORD-2023-00007,2024-01-16,P0062,Libreros Plus 2,Muebles,Libreros,1,0.15,395.83,163.33,41.262663264532755
C0235,María Hernández,Consumidor,Chile,Austral,Aysén,Coyhaique,ORD-2023-00008,2023-05-04,P0049,Sillas Smart 9,Muebles,Sillas,2,0.15,491.5,72.41,14.732451678535096
C0235,María Hernández,Consumidor,Chile,Austral,Aysén,Coyhaique,ORD-2023-00008,2023-05-04,P0024,Computadores Nova 4,Tecnología,Computadores,5,0.05,3834.91,1839.18,47.95888299855799
C0188,Nicolás Sepúlveda,Consumidor,Chile,Centro,O'Higgins,Rancagua,ORD-2023-00009,2023-07-08,P0036,Periféricos Nova 6,Tecnología,Periféricos,8,0.0,7017.6,3651.12,52.02804377564979
C0188,Nicolás Sepúlveda,Consumidor,Chile,Centro,O'Higgins,Rancagua,ORD-2023-00009,2023-07-08,P0105,Etiquetas Pro 5,Oficina,Etiquetas,2,0.1,467.06,214.53,45.9320001712842
C0188,Nicolás Sepúlveda,Consumidor,Chile,Centro,O'Higgins,Rancagua,ORD-2023-00009,2023-07-08,P0110,Etiquetas Nova 10,Oficina,Etiquetas,7,0.05,401.13,159.54,39.772642285543334
C0188,Nicolás Sepúlveda,Consumidor,Chile,Centro,O'Higgins,Rancagua,ORD-2023-00009,2023-07-08,P0061,Libreros Plus 1,Muebles,Libreros,1,0.0,875.36,411.61,47.02179674648145
C0265,Fernanda Castillo,Consumidor,Chile,Sur,Biobío,Concepción,ORD-2023-00010,2024-06-30,P0089,Papelería Plus 9,Oficina,Papelería,3,0.0,1053.36,357.93,33.979835953520166
C0244,Nicolás Hernández,Consumidor,Chile,Norte,Coquimbo,La Serena,ORD-2023-00011,2024-10-06,P0045,Sillas Eco 5,Muebles,Sillas,1,0.2,427.92,52.49,12.266311460085998
C0244,Nicolás Hernández,Consumidor,Chile,Norte,Coquimbo,La Serena,ORD-2023-00011,2024-10-06,P0074,Almacenamiento Smart 4,Muebles,Almacenamiento,3,0.1,1113.78,338.7,30.409955287399665
C0244,Nicolás Hernández,Consumidor,Chile,Norte,Coquimbo,La Serena,ORD-2023-00011,2024-10-06,P0100,Archivadores Smart 10,Oficina,Archivadores,8,0.0,420.96,114.48,27.194982896237175
C0238,Sebastián López,Home Office,Chile,Norte,Coquimbo,La Serena,ORD-2023-00012,2024-10-08,P0109,Etiquetas Smart 9,Oficina,Etiquetas,2,0.0,1527.58,408.94,26.770447374278273
C0238,Sebastián López,Home Office,Chile,Norte,Coquimbo,La Serena,ORD-2023-00012,2024-10-08,P0041,Sillas Eco 1,Muebles,Sillas,6,0.1,834.41,223.18,26.747042820675688
C0238,Sebastián López,Home Office,Chile,Norte,Coquimbo,La Serena,ORD-2023-00012,2024-10-08,P0035,Periféricos Nova 5,Tecnología,Periféricos,8,0.15,5200.03,798.96,15.364526743114945
C0238,Sebastián López,Home Office,Chile,Norte,Coquimbo,La Serena,ORD-2023-00012,2024-10-08,P0053,Mesas Eco 3,Muebles,Mesas,3,0.0,1112.13,396.0,35.607348061827295
C0121,Sebastián Muñoz,Consumidor,Chile,Austral,Aysén,Coyhaique,ORD-2023-00013,2024-11-08,P0051,Mesas Smart 1,Muebles,Mesas,2,0.0,189.76,72.52,38.21669477234401
C0121,Sebastián Muñoz,Consumidor,Chile,Austral,Aysén,Coyhaique,ORD-2023-00013,2024-11-08,P0071,Almacenamiento Flex 1,Muebles,Almacenamiento,1,0.0,888.52,211.03,23.750731553594743
C0054,Catalina Araya,Corporativo,Chile,Sur,La Araucanía,Temuco,ORD-2023-00014,2023-09-26,P0057,Mesas Smart 7,Muebles,Mesas,3,0.0,1547.43,571.17,36.9108780364863
C0054,Catalina Araya,Corporativo,Chile,Sur,La Araucanía,Temuco,ORD-2023-00014,2023-09-26,P0004,Accesorios Eco 4,Tecnología,Accesorios,1,0.15,23.9,3.48,14.560669456066947
C0054,Catalina Araya,Corporativo,Chile,Sur,La Araucanía,Temuco,ORD-2023-00014,2023-09-26,P0111,Sobres Flex 1,Oficina,Sobres,8,0.3,2883.22,251.97,8.739187436269171
C0281,Benjamín González,Home Office,Chile,Centro,Maule,Talca,ORD-2023-00015,2024-03-31,P0081,Papelería Smart 1,Oficina,Papelería,7,0.1,5168.9,1520.29,29.41225405792335
C0281,Benjamín González,Home Office,Chile,Centro,Maule,Talca,ORD-2023-00015,2024-03-31,P0070,Libreros Eco 10,Muebles,Libreros,4,0.0,3066.76,1181.68,38.53187076915051
C0281,Benjamín González,Home Office,Chile,Centro,Maule,Talca,ORD-2023-00015,2024-03-31,P0053,Mesas Eco 3,Muebles,Mesas,5,0.0,1853.55,660.0,35.6073480618273
C0281,Benjamín González,Home Office,Chile,Centro,Maule,Talca,ORD-2023-00015,2024-03-31,P0067,Libreros Pro 7,Muebles,Libreros,3,0.15,440.56,120.1,27.260759033956784
C0252,Martina Soto,Corporativo,Chile,Centro,Maule,Talca,ORD-2023-00016,2025-02-12,P0071,Almacenamiento Flex 1,Muebles,Almacenamiento,6,0.05,5064.56,1009.03,19.92334970856303
C0203,Ignacio Araya,Corporativo,Chile,Centro,Valparaíso,Valparaíso,ORD-2023-00017,2023-09-13,P0011,Teléfonos Plus 1,Tecnología,Teléfonos,7,0.05,3669.0,1136.31,30.97056418642682
C0203,Ignacio Araya,Corporativo,Chile,Centro,Valparaíso,Valparaíso,ORD-2023-00017,2023-09-13,P0037,Periféricos Nova 7,Tecnología,Periféricos,5,0.2,1155.92,404.23,34.97041317738251
C0203,Ignacio Araya,Corporativo,Chile,Centro,Valparaíso,Valparaíso,ORD-2023-00017,2023-09-13,P0024,Computadores Nova 4,Tecnología,Computadores,3,0.1,2179.85,1008.98,46.28667110122257
C0232,Catalina López,Corporativo,Chile,Austral,Aysén,Coyhaique,ORD-2023-00018,2023-10-06,P0069,Libreros Smart 9,Muebles,Libreros,1,0.0,667.86,197.81,29.618482915581108
C0138,Gabriel Muñoz,Corporativo,Chile,Austral,Magallanes,Punta Arenas,ORD-2023-00019,2023-05-09,P0028,Computadores Pro 8,Tecnología,Computadores,6,0.2,2218.22,815.1,36.74567896782105
C0138,Gabriel Muñoz,Corporativo,Chile,Austral,Magallanes,Punta Arenas,ORD-2023-00019,2023-05-09,P0048,Sillas Plus 8,Muebles,Sillas,8,0.0,5003.44,1125.28,22.490126792766578
C0138,Gabriel Muñoz,Corporativo,Chile,Austral,Magallanes,Punta Arenas,ORD-2023-00019,2023-05-09,P0008,Accesorios Plus 8,Tecnología,Accesorios,5,0.2,1586.4,278.45,17.552319717599595
C0138,Gabriel Muñoz,Corporativo,Chile,Austral,Magallanes,Punta Arenas,ORD-2023-00019,2023-05-09,P0024,Computadores Nova 4,Tecnología,Computadores,4,0.1,2906.46,1254.0,43.14526950310687
C0063,Antonia Castillo,Corporativo,Chile,Sur,Los Lagos,Puerto Montt,ORD-2023-00020,2025-02-25,P0095,Archivadores Plus 5,Oficina,Archivadores,2,0.05,1001.77,433.71,43.29436896692854
C0063,Antonia Castillo,Corporativo,Chile,Sur,Los Lagos,Puerto Montt,ORD-2023-00020,2025-02-25,P0120,Sobres Plus 10,Oficina,Sobres,6,0.0,4237.62,1615.14,38.11431888654481
C0063,Antonia Castillo,Corporativo,Chile,Sur,Los Lagos,Puerto Montt,ORD-2023-00020,2025-02-25,P0096,Archivadores Pro 6,Oficina,Archivadores,2,0.1,1271.68,479.7,37.72175390035229
C0063,Antonia Castillo,Corporativo,Chile,Sur,Los Lagos,Puerto Montt,ORD-2023-00020,2025-02-25,P0026,Computadores Plus 6,Tecnología,Computadores,6,0.0,2864.04,595.14,20.779737713160433
C0058,Nicolás Morales,Home Office,Chile,Norte,Coquimbo,La Serena,ORD-2023-00021,2023-08-30,P0051,Mesas Smart 1,Muebles,Mesas,4,0.0,379.52,145.04,38.21669477234401
C0080,Daniela Morales,Corporativo,Chile,Austral,Aysén,Coyhaique,ORD-2023-00022,2024-01-16,P0008,Accesorios Plus 8,Tecnología,Accesorios,6,0.0,2379.6,728.46,30.612708018154315
C0065,Benjamín Rojas,Corporativo,Chile,Sur,Los Ríos,Valdivia,ORD-2023-00023,2024-05-14,P0003,Accesorios Plus 3,Tecnología,Accesorios,7,0.15,5166.15,288.62,5.586752223609459
C0065,Benjamín Rojas,Corporativo,Chile,Sur,Los Ríos,Valdivia,ORD-2023-00023,2024-05-14,P0116,Sobres Flex 6,Oficina,Sobres,1,0.3,541.93,37.69,6.954772756629085
C0278,Fernanda Castillo,Corporativo,Chile,Sur,Los Lagos,Puerto Montt,ORD-2023-00024,2024-12-14,P0036,Periféricos Nova 6,Tecnología,Periféricos,3,0.0,2631.6,1369.17,52.0280437756498
C0278,Fernanda Castillo,Corporativo,Chile,Sur,Los Lagos,Puerto Montt,ORD-2023-00024,2024-12-14,P0038,Periféricos Nova 8,Tecnología,Periféricos,5,0.15,1737.91,491.89,28.303537007094725
C0278,Fernanda Castillo,Corporativo,Chile,Sur,Los Lagos,Puerto Montt,ORD-2023-00024,2024-12-14,P0094,Archivadores Pro 4,Oficina,Archivadores,3,0.0,540.12,160.02,29.62674961119751
C0278,Fernanda Castillo,Corporativo,Chile,Sur,Los Lagos,Puerto Montt,ORD-2023-00024,2024-12-14,P0100,Archivadores Smart 10,Oficina,Archivadores,4,0.15,178.91,22.88,12.788552903694594
C0098,Jorge Díaz,Home Office,Chile,Centro,Maule,Talca,ORD-2023-00025,2024-06-20,P0083,Papelería Pro 3,Oficina,Papelería,6,0.0,317.34,103.08,32.48251087162035
C0098,Jorge Díaz,Home Office,Chile,Centro,Maule,Talca,ORD-2023-00025,2024-06-20,P0006,Accesorios Nova 6,Tecnología,Accesorios,3,0.0,2607.84,1041.42,39.9341984170808
C0098,Jorge Díaz,Home Office,Chile,Centro,Maule,Talca,ORD-2023-00025,2024-06-20,P0014,Teléfonos Pro 4,Tecnología,Teléfonos,8,0.05,593.33,310.58,52.34523789459491
C0098,Jorge Díaz,Home Office,Chile,Centro,Maule,Talca,ORD-2023-00025,2024-06-20,P0085,Papelería Smart 5,Oficina,Papelería,8,0.1,5356.87,1136.31,21.212200408074118
C0037,Carlos Espinoza,Consumidor,Chile,Austral,Aysén,Coyhaique,ORD-2023-00026,2023-01-14,P0047,Sillas Plus 7,Muebles,Sillas,7,0.15,4152.09,420.46,10.126466430159269
C0137,Javiera Díaz,Corporativo,Chile,Sur,Los Ríos,Valdivia,ORD-2023-00027,2024-06-25,P0013,Teléfonos Nova 3,Tecnología,Teléfonos,4,0.2,914.75,248.12,27.1243509155507
C0292,Carlos Castillo,Home Office,Chile,Centro,Maule,Talca,ORD-2023-00028,2024-10-02,P0087,Papelería Flex 7,Oficina,Papelería,8,0.2,4738.37,352.41,7.437367702395551
C0292,Carlos Castillo,Home Office,Chile,Centro,Maule,Talca,ORD-2023-00028,2024-10-02,P0102,Etiquetas Pro 2,Oficina,Etiquetas,3,0.2,1028.86,209.52,20.364286686235253
C0292,Carlos Castillo,Home Office,Chile,Centro,Maule,Talca,ORD-2023-00028,2024-10-02,P0069,Libreros Smart 9,Muebles,Libreros,8,0.15,4541.45,652.02,14.357088595052241
C0191,Martina Silva,Home Office,Chile,Centro,Metropolitana,Santiago,ORD-2023-00029,2024-02-27,P0073,Almacenamiento Eco 3,Muebles,Almacenamiento,4,0.2,559.23,64.21,11.481858984675355
C0191,Martina Silva,Home Office,Chile,Centro,Metropolitana,Santiago,ORD-2023-00029,2024-02-27,P0047,Sillas Plus 7,Muebles,Sillas,8,0.3,3907.85,-566.36,-14.492879716468135
C0018,Vicente Rodríguez,Corporativo,Chile,Centro,Valparaíso,Valparaíso,ORD-2023-00030,2023-10-19,P0029,Computadores Eco 9,Tecnología,Computadores,4,0.15,955.81,190.16,19.895167449597725
C0018,Vicente Rodríguez,Corporativo,Chile,Centro,Valparaíso,Valparaíso,ORD-2023-00030,2023-10-19,P0118,Sobres Nova 8,Oficina,Sobres,3,0.0,696.15,196.29,28.19650937297996
C0018,Vicente Rodríguez,Corporativo,Chile,Centro,Valparaíso,Valparaíso,ORD-2023-00030,2023-10-19,P0020,Teléfonos Flex 10,Tecnología,Teléfonos,3,0.1,1334.85,607.53,45.51297898640297
C0120,Fernanda Díaz,Corporativo,Chile,Centro,Valparaíso,Valparaíso,ORD-2023-00031,2023-09-20,P0093,Archivadores Flex 3,Oficina,Archivadores,6,0.3,2624.45,1022.8,38.97197508049305
C0154,Ana Castillo,Home Office,Chile,Sur,Los Ríos,Valdivia,ORD-2023-00032,2023-02-08,P0045,Sillas Eco 5,Muebles,Sillas,7,0.2,2995.44,125.08,4.17568036749192
C0154,Ana Castillo,Home Office,Chile,Sur,Los Ríos,Valdivia,ORD-2023-00032,2023-02-08,P0112,Sobres Pro 2,Oficina,Sobres,4,0.0,1814.6,909.76,50.13556706712223
C0154,Ana Castillo,Home Office,Chile,Sur,Los Ríos,Valdivia,ORD-2023-00032,2023-02-08,P0007,Accesorios Nova 7,Tecnología,Accesorios,5,0.0,1565.45,847.55,54.140981826311915
C0168,Gabriel Araya,Corporativo,Chile,Centro,O'Higgins,Rancagua,ORD-2023-00033,2024-05-29,P0029,Computadores Eco 9,Tecnología,Computadores,7,0.1,1771.06,352.15,19.883572549772452
C0068,Gabriel Hernández,Home Office,Chile,Centro,Valparaíso,Valparaíso,ORD-2023-00034,2023-12-11,P0052,Mesas Nova 2,Muebles,Mesas,7,0.0,3459.05,815.15,23.56571891126176
C0287,Felipe Contreras,Consumidor,Chile,Norte,Coquimbo,La Serena,ORD-2023-00035,2023-07-22,P0035,Periféricos Nova 5,Tecnología,Periféricos,7,0.15,4550.02,719.37,15.810260174680549
C0058,Nicolás Morales,Home Office,Chile,Norte,Coquimbo,La Serena,ORD-2023-00036,2024-11-18,P0099,Archivadores Eco 9,Oficina,Archivadores,5,0.0,52.85,27.85,52.69631031220435
C0075,Ana Rodríguez,Corporativo,Chile,Norte,Coquimbo,La Serena,ORD-2023-00037,2024-03-27,P0015,Teléfonos Plus 5,Tecnología,Teléfonos,1,0.05,663.57,141.7,21.354190213541898
C0148,Josefa Rodríguez,Home Office,Chile,Norte,Antofagasta,Antofagasta,ORD-2023-00038,2023-01-15,P0043,Sillas Smart 3,Muebles,Sillas,4,0.05,2677.48,1071.66,40.02494883248428
C0281,Benjamín González,Home Office,Chile,Centro,Maule,Talca,ORD-2023-00039,2024-05-09,P0033,Periféricos Nova 3,Tecnología,Periféricos,3,0.0,2650.05,572.61,21.607516839304918
C0028,Benjamín Muñoz,Home Office,Chile,Austral,Magallanes,Punta Arenas,ORD-2023-00040,2024-04-21,P0111,Sobres Flex 1,Oficina,Sobres,2,0.0,1029.72,430.6,41.81719302334616
C0028,Benjamín Muñoz,Home Office,Chile,Austral,Magallanes,Punta Arenas,ORD-2023-00040,2024-04-21,P0030,Computadores Flex 10,Tecnología,Computadores,7,0.0,4866.4,2626.54,53.97295742232452
C0028,Benjamín Muñoz,Home Office,Chile,Austral,Magallanes,Punta Arenas,ORD-2023-00040,2024-04-21,P0077,Almacenamiento Nova 7,Muebles,Almacenamiento,2,0.0,218.98,111.7,51.00922458672025
C0288,Martina Contreras,Home Office,Chile,Centro,Metropolitana,Santiago,ORD-2023-00041,2024-12-30,P0003,Accesorios Plus 3,Tecnología,Accesorios,6,0.15,4428.13,362.73,8.191493926330077
C0288,Martina Contreras,Home Office,Chile,Centro,Metropolitana,Santiago,ORD-2023-00041,2024-12-30,P0031,Periféricos Smart 1,Tecnología,Periféricos,5,0.0,1162.9,597.7,51.39736864734715
C0016,Diego Araya,Home Office,Chile,Sur,Biobío,Concepción,ORD-2023-00042,2024-07-22,P0067,Libreros Pro 7,Muebles,Libreros,4,0.2,552.86,131.1,23.713055746481928
C0016,Diego Araya,Home Office,Chile,Sur,Biobío,Concepción,ORD-2023-00042,2024-07-22,P0055,Mesas Plus 5,Muebles,Mesas,5,0.15,2461.22,774.3,31.46000763848823
C0016,Diego Araya,Home Office,Chile,Sur,Biobío,Concepción,ORD-2023-00042,2024-07-22,P0027,Computadores Flex 7,Tecnología,Computadores,3,0.05,113.09,56.12,49.62419312052347
C0016,Diego Araya,Home Office,Chile,Sur,Biobío,Concepción,ORD-2023-00042,2024-07-22,P0089,Papelería Plus 9,Oficina,Papelería,3,0.2,842.69,105.49,12.51824514352846
C0290,Diego Muñoz,Corporativo,Chile,Sur,Los Lagos,Puerto Montt,ORD-2023-00043,2023-06-11,P0098,Archivadores Nova 8,Oficina,Archivadores,6,0.2,1122.77,83.81,7.464574222681404
C0227,Diego Díaz,Consumidor,Chile,Sur,Los Ríos,Valdivia,ORD-2023-00044,2025-02-02,P0014,Teléfonos Pro 4,Tecnología,Teléfonos,3,0.0,234.21,126.3,53.92596387857051
C0227,Diego Díaz,Consumidor,Chile,Sur,Los Ríos,Valdivia,ORD-2023-00044,2025-02-02,P0078,Almacenamiento Eco 8,Muebles,Almacenamiento,4,0.05,1140.84,605.74,53.095964377125625
C0184,Fernanda Soto,Corporativo,Chile,Norte,Coquimbo,La Serena,ORD-2023-00045,2023-03-23,P0024,Computadores Nova 4,Tecnología,Computadores,7,0.3,3956.01,1153.66,29.162211420092465
C0184,Fernanda Soto,Corporativo,Chile,Norte,Coquimbo,La Serena,ORD-2023-00045,2023-03-23,P0025,Computadores Plus 5,Tecnología,Computadores,4,0.0,3054.84,976.2,31.955847114742507
C0184,Fernanda Soto,Corporativo,Chile,Norte,Coquimbo,La Serena,ORD-2023-00045,2023-03-23,P0119,Sobres Plus 9,Oficina,Sobres,5,0.2,2480.96,811.34,32.70266348510254
C0105,Diego Rojas,Consumidor,Chile,Austral,Magallanes,Punta Arenas,ORD-2023-00046,2023-03-09,P0111,Sobres Flex 1,Oficina,Sobres,8,0.05,3912.94,1522.42,38.90731777129218
C0105,Diego Rojas,Consumidor,Chile,Austral,Magallanes,Punta Arenas,ORD-2023-00046,2023-03-09,P0078,Almacenamiento Eco 8,Muebles,Almacenamiento,7,0.15,1786.31,851.93,47.692169892123985
C0105,Diego Rojas,Consumidor,Chile,Austral,Magallanes,Punta Arenas,ORD-2023-00046,2023-03-09,P0067,Libreros Pro 7,Muebles,Libreros,2,0.3,241.88,25.61,10.58789482387961
C0126,Jorge Hernández,Home Office,Chile,Centro,Valparaíso,Valparaíso,ORD-2023-00047,2024-06-15,P0057,Mesas Smart 7,Muebles,Mesas,7,0.1,3249.6,932.14,28.684761201378635
C0126,Jorge Hernández,Home Office,Chile,Centro,Valparaíso,Valparaíso,ORD-2023-00047,2024-06-15,P0060,Mesas Smart 10,Muebles,Mesas,3,0.2,379.9,107.03,28.17320347459858
C0126,Jorge Hernández,Home Office,Chile,Centro,Valparaíso,Valparaíso,ORD-2023-00047,2024-06-15,P0089,Papelería Plus 9,Oficina,Papelería,3,0.3,737.35,0.22,0.0298365769309012
C0047,Ana Díaz,Consumidor,Chile,Centro,O'Higgins,Rancagua,ORD-2023-00048,2025-01-09,P0023,Computadores Pro 3,Tecnología,Computadores,8,0.05,6029.61,2820.33,46.774667018264864
C0129,Felipe Rodríguez,Corporativo,Chile,Centro,Maule,Talca,ORD-2023-00049,2023-11-28,P0012,Teléfonos Flex 2,Tecnología,Teléfonos,2,0.3,473.87,124.86,26.34899867052145
C0269,Javiera Soto,Corporativo,Chile,Sur,Los Ríos,Valdivia,ORD-2023-00050,2024-12-25,P0006,Accesorios Nova 6,Tecnología,Accesorios,3,0.15,2216.66,640.0,28.87226728501439
C0269,Javiera Soto,Corporativo,Chile,Sur,Los Ríos,Valdivia,ORD-2023-00050,2024-12-25,P0021,Computadores Plus 1,Tecnología,Computadores,3,0.0,2383.2,1058.97,44.434793554884195
C0269,Javiera Soto,Corporativo,Chile,Sur,Los Ríos,Valdivia,ORD-2023-00050,2024-12-25,P0054,Mesas Eco 4,Muebles,Mesas,5,0.1,371.34,62.89,16.93596165239403
C0269,Javiera Soto,Corporativo,Chile,Sur,Los Ríos,Valdivia,ORD-2023-00050,2024-12-25,P0037,Periféricos Nova 7,Tecnología,Periféricos,3,0.0,866.94,394.29,45.48065610076822
C0002,Valentina Muñoz,Home Office,Chile,Austral,Aysén,Coyhaique,ORD-2023-00051,2024-09-29,P0078,Almacenamiento Eco 8,Muebles,Almacenamiento,8,0.05,2281.67,1212.15,53.12556154045064
C0233,Jorge Díaz,Home Office,Chile,Sur,La Araucanía,Temuco,ORD-2023-00052,2024-02-24,P0007,Accesorios Nova 7,Tecnología,Accesorios,3,0.0,939.27,508.53,54.140981826311915
C0233,Jorge Díaz,Home Office,Chile,Sur,La Araucanía,Temuco,ORD-2023-00052,2024-02-24,P0005,Accesorios Flex 5,Tecnología,Accesorios,3,0.0,2675.01,1022.58,38.22714681440443
C0170,Sofía Rojas,Consumidor,Chile,Centro,Metropolitana,Santiago,ORD-2023-00053,2023-03-31,P0059,Mesas Smart 9,Muebles,Mesas,6,0.0,828.48,291.36,35.16801853997683
C0170,Sofía Rojas,Consumidor,Chile,Centro,Metropolitana,Santiago,ORD-2023-00053,2023-03-31,P0042,Sillas Flex 2,Muebles,Sillas,6,0.2,2672.69,326.83,12.228503866890659
C0282,Luis Espinoza,Corporativo,Chile,Austral,Aysén,Coyhaique,ORD-2023-00054,2023-03-08,P0068,Libreros Pro 8,Muebles,Libreros,4,0.05,2426.03,759.83,31.31989299390362
C0282,Luis Espinoza,Corporativo,Chile,Austral,Aysén,Coyhaique,ORD-2023-00054,2023-03-08,P0074,Almacenamiento Smart 4,Muebles,Almacenamiento,2,0.3,577.51,33.83,5.85790722238576
C0282,Luis Espinoza,Corporativo,Chile,Austral,Aysén,Coyhaique,ORD-2023-00054,2023-03-08,P0055,Mesas Plus 5,Muebles,Mesas,6,0.1,3127.19,1088.76,34.8159210025614
C0282,Luis Espinoza,Corporativo,Chile,Austral,Aysén,Coyhaique,ORD-2023-00054,2023-03-08,P0119,Sobres Plus 9,Oficina,Sobres,3,0.3,1302.5,255.03,19.58003838771593
C0253,Jorge Torres,Consumidor,Chile,Centro,Maule,Talca,ORD-2023-00055,2025-04-07,P0016,Teléfonos Pro 6,Tecnología,Teléfonos,1,0.3,545.51,151.08,27.695184322927176
C0107,Matías Díaz,Consumidor,Chile,Austral,Magallanes,Punta Arenas,ORD-2023-00056,2025-03-29,P0002,Accesorios Smart 2,Tecnología,Accesorios,4,0.1,36.22,12.93,35.698509110988404
C0107,Matías Díaz,Consumidor,Chile,Austral,Magallanes,Punta Arenas,ORD-2023-00056,2025-03-29,P0040,Periféricos Eco 10,Tecnología,Periféricos,5,0.15,3153.54,941.2,29.84582405804271
C0171,Daniela Araya,Home Office,Chile,Norte,Coquimbo,La Serena,ORD-2023-00057,2023-12-16,P0025,Computadores Plus 5,Tecnología,Computadores,6,0.15,3894.92,660.86,16.96722910868516
C0171,Daniela Araya,Home Office,Chile,Norte,Coquimbo,La Serena,ORD-2023-00057,2023-12-16,P0118,Sobres Nova 8,Oficina,Sobres,8,0.0,1856.4,523.44,28.19650937297996
C0080,Daniela Morales,Corporativo,Chile,Austral,Aysén,Coyhaique,ORD-2023-00058,2024-10-04,P0119,Sobres Plus 9,Oficina,Sobres,1,0.1,558.22,208.91,37.424312994876566
C0080,Daniela Morales,Corporativo,Chile,Austral,Aysén,Coyhaique,ORD-2023-00058,2024-10-04,P0072,Almacenamiento Nova 2,Muebles,Almacenamiento,1,0.05,654.53,225.36,34.430812949750205
